college_name,alias,abbreviation,transcripts,mid_year,letter_of_rec_required,letter_of_rec_total,people_for_letters,sat,sat_essay,act_essay,self_report,subject_tests,essays,supplemental_essays,acceptance_rate,population,national_ranking,tuition_normal,tuition_oos,early_decision,early_action,regular_decision,scholarship_date,interview,app_fee,app_site,common_app,coalition_app,college_logo,school_type,state
Michigan State University,Michigan State,MSU,n,n,0,0,none,req,rec,rec,n,op,"1 / Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story. / The lessons we take from obstacles we encounter can be fundamental to later success. Recount a time when you faced a challenge, setback, or failure. How did it affect you, and what did you learn from the experience? / Reflect on a time when you questioned or challenged a belief or idea. What prompted your thinking? What was the outcome? / Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution. / Discuss an accomplishment, event, or realization that sparked a period of personal growth and a new understanding of yourself or others. / Describe a topic, idea, or concept you find so engaging that it makes you lose all track of time. Why does it captivate you? What or who do you turn to when you want to learn more? / Share an essay on any topic of your choice. It can be one you've already written, one that responds to a different prompt, or one of your own design.",none,71.5,NULL,10000,14460,39766,-1,1604188860,1610668860,1604188860,no,65,Coalition  / MSU site,n,y,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Michigan_State_Athletics_logo.svg/1200px-Michigan_State_Athletics_logo.svg.png,Public,MI
University of South Florida-Main Campus,U of South Florida,USF,y,n,0,0,n/a,req,op,op,n,op,n/a,n/a,42.7,32238,104,4559,15473,-1,-1,1614556860,1610668860,n,30,Coalition / VZ CollegeApp: USF,n,y,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/South_Florida_Bulls_logo.svg/1200px-South_Florida_Bulls_logo.svg.png,Public,FL
Hofstra University,Hofstra,,y,y,2,2,Teacher / Counselor,op,n/a,n/a,n,n/a,Common Application,"1 / In 500 words or fewer, please share why you are currently applying to Hofstra.",68.5,6498,162,46450,46450,-1,0,-1,-1,n,70,Common Application / Hofstra Online Application,y,n,https://w7.pngwing.com/pngs/454/902/png-transparent-hofstra-pride-men-s-basketball-hofstra-pride-women-s-basketball-hofstra-pride-football-hofstra-university-southeastern-conference-pride-blue-marine-mammal-sport.png,Private,NY
Drexel University,Drexel,,y,y,2,4,Counselor / Any / ...,req,n/a,n/a,n,op,Common Application / Coalition,n/a,74.7,15346,97,52146,52146,1605398460,1604188860,1610668860,-1,op,50,Common Application / Coalition ,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Drexel_Dragons_logo.svg/1200px-Drexel_Dragons_logo.svg.png,Private,PA
CUNY Hunter College,Hunter College,,y,n,0,0,maybe,req,n/a,n/a,n,n/a,not sure,"4 / 1. Tell us about a significant experience, achievement, risk you have taken, or ethical dilemma you have faced and how it impacted you personally. (250-600 words) 2. Describe a specific interest or talent and how you have pursued it to date or wish to pursue it in the future. (250-600 words) 3. Provide both an essay question and response that you already completed via The Common Application. (250-600 words) 4. Submit an essay on the topic of your choice. (250-600 words)",37.9,7182,10000,14852,31233,-1,-1,1612137660,-1,n/a,65,Common Application / CUNY Application,y,n,https://www.mascotdb.com/sites/default/files/images/logos/40664.png,Public,NY
University of Iowa,Iowa,uiowa,n,n,0,6,Teacher / Teacher / Teacher / Any / Any / Any,req,n/a,n/a,n,n/a,Common Application,n/a,82.59999999999999,23482,84,8073,30036,-1,-1,1619827260,-1,n,40,Common Application / Coalition  / UI App,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Iowa_Hawkeyes_logo.svg/1200px-Iowa_Hawkeyes_logo.svg.png,Public,IA
Johns Hopkins University,Johns Hopkins,,y,y,3,3,Counselor / Teacher / Teacher,req,op,op,y,n,Common Application,"1 / Successful students at Johns Hopkins make the biggest impact by collaborating with others, including peers, mentors, and professors. Talk about a time, in or outside the classroom, when you worked with others and what you learned from the experience. (Up to 400 words)",15,5365,10,48710,48710,1605398460,-1,1609545660,-1,n,70,Common Application / Coalition ,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Johns_Hopkins_Blue_Jays.svg/1200px-Johns_Hopkins_Blue_Jays.svg.png,Private,MD
North Carolina State University at Raleigh,North Carolina State,NC State,y,y,0,2,Teacher / Any,req,n,n,y,n/a,Common Application / Coalition,n/a,44.9,25973,84,6535,26654,-1,1604361660,1610668860,-1,n,85,Common Application / Coalition ,y,y,https://i.pinimg.com/originals/36/2a/25/362a25066da649c84c9bb000066ba7ca.png,Public,NC
University at Buffalo,U of Buffalo,UB,y,n,0,3,Both / Any / Any,req,n/a,n/a,n,n/a,Common Application / Coalition,n/a,61.1,21921,79,7070,24740,-1,1605398460,1612137660,1607990460,n,50,Common Application / Coalition  / SUNY Application,y,y,https://i.pinimg.com/originals/48/e3/ff/48e3ff335097dc1b9d8e0dfbb1e7684e.png,Public,NY
George Washington University,George Washington,GW,y,y,2,2,Teacher / Counselor,op,n,n/a,n,n/a,Common Application,op,41.9,12546,70,56845,56845,0,-1,1609804860,-1,n,80,Common Application,y,n,https://images.squarespace-cdn.com/content/v1/5717ee8e1bbee08525c09f91/1466888045941-ZIPQ17MOXMFES2OGAZO0/ke17ZwdGBToddI8pDm48kDmvgM2_GYudIur22MWWiLdZw-zPPgdn4jUwVcJE1ZvW-sqr_Gezo6TlMOa8IzwuK_ut3m2EIRkoOCEuUXL6Bqkp2ryTI0HqTOaaUohrI8PI29l9-UHQrsKU5XxEd-Lyl_wjSaPlQ_KRPWhPqknKv00/image-asset.png?format=500w,Private,DC
Syracuse University,Syracuse,,y,y,3,3,Counselor / Teacher / Teacher,req,op,op,n,n/a,Common Application,none,47,15275,54,52210,52210,0,-1,1609459260,-1,op,85,Common Application / Coalition,y,y,https://i0.wp.com/fanapeel.com/wp-content/uploads/logo_-syracuse-university-orange-smiling-teeth-otto-the-orange.png?ssl=1,Private,NY
Georgia Institute of Technology-Main Campus,Georgia Tech,GT,y,y,0,2,Counselor / Teacher,req,op,op,y,op,One Common Application or One Coalition,"1 / Why do you want to study your chosen major at Georgia Tech, and how do you think Georgia Tech will prepare you to pursue opportunities in that field after graduation? (300)",20.6,16159,29,12682,33794,-1,-1,1609891260,1612051260,n,75,Common Application / Coalition,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Georgia_Tech%27s_Buzz_logo.svg/1200px-Georgia_Tech%27s_Buzz_logo.svg.png,Public,GA
University of Maryland-College Park,Maryland,UMD,y,,1,2,Counselor / Teacher,req,op,op,n,op,Coalition,none,44.1,30511,64,10954,37588,-1,1604188860,1611100860,1604188860,n,75,Coalition,n,y,https://static1.squarespace.com/static/5717ee8e1bbee08525c09f91/t/576edf349f7456eedf846e32/1466883898480/?format=1500w,Public,MD
University of Florida,University of Florida,UF,n,n,0,0,na,req,op,op,n,n/a,Common Application or Coalition,none,38.8,35491,34,6390,28658,-1,-1,1604188860,1604188860,n,30,Common Application / Coalition,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/1200px-Florida_Gators_gator_logo.svg.png,Public,FL
Miami University-Oxford,Miami University,Miami,y,n,1,1,Both,req,op,op,n,n/a,Common Application,none,80.40000000000001,17246,91,15909,35936,1604188860,7035916,1612137660,1606780860,n,50,Common Application,y,n,https://www.pinclipart.com/picdir/big/219-2193189_no-athlete-available-miami-university-oxford-mascot-clipart.png,Public,OH
Princeton University,Princeton,,y,y,3,3,Counselor / Teacher / Teacher,req,op,op,n,recommend,Common Application or Coalition or Universal College App,"Please briefly elaborate on one of your extracurricular activities or work experiences that was particularly meaningful to you. (150) / Please tell us how you have spent the last two summers (or vacations between school years), including any jobs you have held. (Roughly 150) / 1 / Tell us about a person who has influenced you in a significant way. /
“One of the great challenges of our time is that the disparities we face today have more complex causes and point less straightforwardly to solutions.”
Omar Wasow, assistant professor of politics, Princeton University. This quote is taken from Professor Wasow’s January 2014 speech at the Martin Luther King Day celebration at Princeton University. /
“Culture is what presents us with the kinds of valuable things that can fill a life. And insofar as we can recognize the value in those things and make them part of our lives, our lives are meaningful.” 
Gideon Rosen, Stuart Professor of Philosophy and chair,  Department of Philosophy, Princeton University. / 
Using a favorite quotation from an essay or book you have read in the last three years as a starting point, tell us about an event or experience that helped you define one of your values or changed how you approach the world. Please write the quotation, title and author at the beginning of your essay. (250 - 650) / Your favorite book and its author
Your favorite website
Your favorite recording
Your favorite source of inspiration
Your favorite line from a movie or book and its title
Your favorite movie
Two adjectives your friends would use to describe you
Your favorite keepsake or memento
Your favorite word / Why you are interested in studying engineering, any experiences in or exposure to engineering you have had and how you think the programs in engineering offered at Princeton suit your particular interests.(300-500)",5.5,5428,1,69950,69950,-1,1604188860,1609459260,-1,n,70,Common Application / Coalition / Universal College Application,y,y,https://i.pinimg.com/originals/c3/e9/04/c3e9045a07b805a72d9b62c65a122759.png,Private,NJ
Washington University in St Louis,WashU,WUSTL,y,y,1,3,Counselor / Teacher / Teacher / Mentor,req,op,op,y,op,Common Application or Coalition,"1 / Tell us about something that really sparks your intellectual interest and curiosity and compels you to explore more in the program/area of study that you indicated. It could be an idea, book, project, cultural activity, work of art, start-up, music, movie, research, innovation, question, or other pursuit. (250)",15,7751,19,56300,56300,0,-1,1609545660,1609891260,n,75,Common Application / Coalition,y,y,https://i.pinimg.com/originals/90/8c/1e/908c1e13e98a49ada1f14b7f8ed8b2a5.png,Private,MO
University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh,,n,n,0,0,none,req,op,op,n,n/a,Common Application or Coalition or University of Pittsburgh application,"0 / Tell us about something you have read/watched/listened to that made an impact on you. Tell us why it made an impact. (200-300) /
If you could create a new product, process, business, or organization, what would this entity look like? (We especially encourage applicants interested in the College of Business Administration or the Swanson School of Engineering to respond to this question.) (200-30) /
What else should we know about you? Take this opportunity to tell the Admissions Committee anything else you think we should know as we review your application for admission. (200-300)",49,17181,57,19080,32052,-1,-1,NULL,0,n,55,Common Application / Coalition / University of Pittsburgh Application,y,y,https://www.clipartmax.com/png/middle/284-2841128_pennsylvania-panthers-university-of-pittsburgh-panther-logo.png,Public,PA
Florida State University,Florida State,FSU,n,n,0,0,none,req,op,op,y,not considered,0 / Common Application or Coalition or FSU application,none,36,33038,57,6516,21683,-1,-1,1614556860,1604188860,n,35,Common Application / Coalition / FSU Application,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Florida_State_Seminoles_logo.svg/1200px-Florida_State_Seminoles_logo.svg.png,Public,FL
Boston College,Boston College,,y,y,3,3,Counselor / Teacher / Teacher,req,op,op,n,op,Common Application,"1 / Great art evokes a sense of wonder. It nourishes the mind and spirit. Is there a particular song, poem, speech, or novel from which you have drawn insight or inspiration? (400) /
When you choose a college, you will join a new community of people who have different backgrounds, experiences, and stories. What is it about your background, your experiences, or your story, that will enrich Boston College’s community? (400) /
Boston College strives to provide an undergraduate learning experience emphasizing the liberal arts, quality teaching, personal formation, and engagement of critical issues. If you had the opportunity to create your own college course, what enduring question or contemporary problem would you address and why? (400) /
Jesuit education considers the liberal arts a pathway to intellectual growth and character formation. What beliefs and values inform your decisions and actions today, and how will Boston College assist you in becoming a person who thinks and acts for the common good? (400)",28,9377,37,56780,56780,0,-1,1609459260,1604188860,n,80,Common Application,y,n,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/1200px-Boston_College_Eagles_logo.svg.png,Private,MA
University of Michigan - Ann Arbor,Michigan,UMich,y,n,1,1,academic Teacher,req,op,op,n,op,Common Application or Coalition app,"When you choose a college, you will join a new community of people who have different backgrounds, experiences, and stories. What is it about your background, your experiences, or your story, that will enrich Boston College’s community?",22.9,30318,25,15558,51200,-1,1604188860,1612137660,-1,op,75,Common Application / Coalition,y,y,https://i.pinimg.com/originals/2f/23/d1/2f23d1e1501d163585ab7891c8851c95.png,Public,MI
University of Southern California,USC,USC,y,y,1,1,Counselor/Teacher,req,op,op,n,op,Common Application,"Boston College strives to provide an undergraduate learning experience emphasizing the liberal arts, quality teaching, personal formation, and engagement of critical issues. If you had the opportunity to create your own college course, what enduring question or contemporary problem would you address and why?",11,20500,22,57526,57526,-1,-1,1606780860,1610668860,n,85,Common Application,y,n,https://i.pinimg.com/originals/d7/11/d2/d711d217b197b9836b05a53c5bf83b86.png,Private,CA
Pennsylvania State University - Main Campus,Penn State,PSU,n,n,0,0,na,req,op,op,n,na,,"Jesuit education considers the liberal arts a pathway to intellectual growth and character formation. What beliefs and values inform your decisions and actions today, and how will Boston College assist you in becoming a person who thinks and acts for the common good?",57.6,81080,57,18454,34858,-1,-1,-1,NULL,n,65,Common Application / Coalition / myPennState,y,n,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/1200px-Penn_State_Nittany_Lions_logo.svg.png,Public,PA
Northeastern University,Northeastern,,y,y,2,2,Counselor/Teacher,req,op,op,y,op,Common Application or Coalition app,na,19,14627,40,50450,50450,0,1604188860,1609459260,-1,n,75,Common Application / Coalition ,y,n,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Northeastern_Huskies_primary_logo.svg/1200px-Northeastern_Huskies_primary_logo.svg.png,Private,MA
University of Minnesota - Twin Cities,University of Minnesota,,n,n,0,0,na,req,rec,rec,y,op,none,"0 / Please include an explanation of why you would like to study the major(s) you have selected. You may also use this space to indicate your interest in other major(s) in the colleges listed above. (150) / The University values diversity, broadly defined to include diversity of experiences, perspectives, backgrounds, and talents. Enrolling a diverse community of scholars interested in learning with and from each other fosters discussion and discovery inside and outside of the classroom. Please share briefly how you might contribute to, or benefit from, our community of scholars. (150)",49.3,31455,70,14760,30438,-1,1604188860,1609459260,1604188860,n,55,Common Application / Coalition / Golden Gopher Application,y,n,https://www.clipartmax.com/png/middle/441-4418882_the-university-of-minnesota-college-of-continuing-university-of-minnesota-gophers-logo.png,Public,MN
Purdue University - Main Campus,Purdue,,y,n,0,2,Teacher / Any,req,op,op,y,n/a,Common Application or Coalition app,"2 / How will opportunities at Purdue support your interests, both in and out of the classroom? (100) / Briefly discuss your reasons for pursuing the major you have selected. (100)
",59.8,32672,57,9992,28794,-1,1604188860,1610668860,1604188860,n,60,Common Application / Coalition ,y,n,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/1200px-Purdue_Boilermakers_logo.svg.png,Public,IN
California Polytechnic State University - San Luis Obispo,Cal Poly SLO,SLO,n,n,0,0,na,req,op,op,y,n/a,none,none,28.4,21812,10000,9816,21696,-1,-1,1606694460,-1,n,70,CSU Application,n,n,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Cal_Poly_Mustangs_logo.svg/1200px-Cal_Poly_Mustangs_logo.svg.png,Public,CA
